username,password,password_hash,first_name,last_name,Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
dchoudhary,7c2!e3@1,4c8d140c31c9c2f30f5181688a3117884afc658112af88f84402df34aa218972,Dinesh,Choudhary,Computer Science and Engineering,Male,4.44,4.38,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.81,2.75
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rohit,Yadav,Computer Science and Engineering,Male,3.75,5.0,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.84,2.75
dkumar,8b6!80@1,b756de28bf1eb8ddceaa4598864084239ffc5f9c6da9c24edcf9385c81299c83,Dinesh,Kumar,Computer Science and Engineering,Male,3.58,4.61,"Low (Below 15,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.81,2.75
syadav,52a!6b@1,7cdbca5219132f640c53fa56ce686203fbce00745582f8e2b7be53210ba6aef3,Sunita,Yadav,Computer Science and Engineering,Female,4.0,4.89,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.79,2.75
myadav,D55!46@1,6766122a4d8fa860cedcce1d78ea3f4dafb41702d8de50c3117978f6394cf768,Meera,Yadav,Computer Science and Engineering,Female,4.67,5.0,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.83,2.75
spatel,956!07@1,56f072a5340bfeab38eb1a5405e3045e385523059bd0f6c4520ace3ce2c1ee76,Sunita,Patel,Computer Science and Engineering,Female,4.5,4.5,"Upper middle (30,000-50,000)",City,1,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,8th,2.76,2.75
vgupta,537!9f@1,a09d54669d8c44eadffd38c88f83dd42b94d1c20591bd0fd6596cc72239bd0c6,Vivek,Gupta,Computer Science and Engineering,Male,4.25,4.94,"Low (Below 15,000) ",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,8th,2.84,2.75
agupta,Efb!af@1,6ccd409166fd6d38660ca386877d7d64aabe1a2e93bbd7dd855b32717d8f0c23,Amit,Gupta,Computer Science and Engineering,Male,4.0,4.5,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,7th,2.75,2.75
ppatel,74e!20@1,cbe047ca8882bb4f9b8a333149185a25887f84ea9cf33e4148dd4c32694176f8,Priya,Patel,Computer Science and Engineering,Female,3.25,4.17,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.88,2.75
rjain,F27!4f@1,3a90b862895b81262938392aaa14d39b5e0fe8fd662c0179b2ce44039b059d7c,Rohit,Jain,Computer Science and Engineering,Male,2.67,4.11,"Upper middle (30,000-50,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,Yes,4,No,6th,2.75,2.75
rverma,852!90@1,51aabc905c874fb2e5c693b4b7d04bab16ceea1d99de71e418bb51aab8161a37,Rohit,Verma,Computer Science and Engineering,Male,4.42,4.44,"Lower middle (15,000-30,000)  ",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.8,2.75
vjain,158!f2@1,6266042c2f6e4b6b9842754f133b66b4b9ef75caa59068acea6f5b37bc56714d,Vivek,Jain,Computer Science and Engineering,Male,4.75,5.0,"Low (Below 15,000) ",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,5th,2.88,2.75
ssharma,Aed!ae@1,c6842ebce1a5634ac10be81ba0127de49e0f85da0d5507bb4c4adabdfc7707ba,Suresh,Sharma,Computer Science and Engineering,Male,3.75,4.78,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,5th,2.75,2.75
vsharma,221!cb@1,2dcf15f92f4b487d81c5bae7e61cac050467d0cd55e6512444798373f7d202b9,Vikram,Sharma,Computer Science and Engineering,Male,3.5,5.0,"High (Above 50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,5th,2.77,2.75
kyadav,Cd0!9a@1,d57540c864bef5afae745eb8d78822e218bcb752613a5de8bf62d015acf054b9,Kavita,Yadav,Computer Science and Engineering,Female,3.33,4.59,"High (Above 50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.75,2.75
akumar,C5c!28@1,6a3675d218862476fba37b4d041f25722f21e6e979c9544bc5a0b72d9eb02122,Ankit,Kumar,Computer Science and Engineering,Male,4.0,4.89,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.75,2.75
vkumar,2bc!e6@1,03f84da3570a9c36ed9f6bf8ccb1f6e4469f441488f4eb0ce7234271c39e698a,Vikram,Kumar,Computer Science and Engineering,Male,3.67,4.77,"High (Above 50,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,3rd,2.83,2.75
rgupta,E08!18@1,03632429eee720389e149cd862773349f27ef308483a6105591d69a3f38f4b02,Rahul,Gupta,Computer Science and Engineering,Male,4.25,5.0,"Upper middle (30,000-50,000)",Village,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
ssingh,C39!23@1,8f3513690e5ebcba64d5079a56ab7d15c05789baf91b123ed74b5dbf31d0a841,Sneha,Singh,Computer Science and Engineering,Female,4.17,5.0,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
pjain,Aba!fe@1,49e65bfe327f6052b93e09edcd62008f6297dba69b53b06b053cd4c01d5a9472,Pooja,Jain,Computer Science and Engineering,Female,3.67,4.73,"Lower middle (15,000-30,000)",City,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
schoudhary,Bc8!22@1,03796808ef2542b9024523b3b313131baf3cfeeae16805c5a21d6c05771d0e46,Sneha,Choudhary,Computer Science and Engineering,Female,4.08,5.0,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.75,2.75
rmishra,43d!7a@1,1e3af4a490fe524dc604cedce2cabd9ae965dcd582e545bcdf8b0dcde818e31a,Rahul,Mishra,Computer Science and Engineering,Male,4.5,5.0,"Upper middle (30,000-50,000)",City,1,0-1 Hour,0-1 Hour,60%-79%,No,1,No,11th,2.27,2.79
skumar,Cdf!a6@1,4c111ca9a631f6bbc4b8758d0a95aa0c01a7ac7c846b2d4931b5d2e99849513f,Suresh,Kumar,Computer Science and Engineering,Male,3.5,4.83,"Lower middle (15,000-30,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,2nd,2.81,2.81
dmishra,9e8!d6@1,b1581f5d2797095c05fdfc2cb9246b2a3c5bbc4590bb58345bf051aad950e90e,Dinesh,Mishra,Computer Science and Engineering,Male,3.25,4.36,"Low (Below 15,000)",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,2nd,2.81,2.81
myadav,D55!46@1,6766122a4d8fa860cedcce1d78ea3f4dafb41702d8de50c3117978f6394cf768,Meera,Yadav,Computer Science and Engineering,Female,3.34,4.69,"Lower middle (15,000-30,000) ",Village,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,Yes,10th,2.96,2.84
mmishra,Dd7!ca@1,92eed6b45caa26481535fb3d9ea5d817a563987dc8e803f508425ddfe5c26229,Meera,Mishra,Computer Science and Engineering,Female,4.08,5.0,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.99,2.84
pchoudhary,24d!79@1,c574c79cf710cd584a4c8f5a9f710323eb536f931958ca4703ff10b9770220ce,Prakash,Choudhary,Computer Science and Engineering,Male,4.08,5.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.94,2.84
dpatel,988!e0@1,773ef61e944b4de649892196249d6726baf2166ecde1f6a51b46ca3c3a61cbb8,Dinesh,Patel,Computer Science and Engineering,Male,3.42,4.33,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,6th,2.94,2.84
rchoudhary,81a!d4@1,50b6f63f64070012aff2b9c1d53dba48a6cf466b99c9ce6a3a969b0f33557862,Rekha,Choudhary,Computer Science and Engineering,Female,4.5,4.75,"Lower middle (15,000-30,000)",Village,3,More than 3 Hours,More than 3 Hours,60%-79%,No,2,No,8th,1.52,2.846
smishra,59d!5a@1,d8ddf7f950219c43edfa8e805b6f9f723eee0d740c7c6f46639c71238bad73ea,Sneha,Mishra,Computer Science and Engineering,Female,4.42,4.23,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.86,2.86
mchoudhary,4fd!af@1,772620c233185eb0bb1002b3e60c4bcc035e6040b6d00abe1fed20d010d25372,Meera,Choudhary,Computer Science and Engineering,Female,3.5,4.73,"Lower middle (15,000-30,000)",City,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.88,2.88
rverma,852!90@1,51aabc905c874fb2e5c693b4b7d04bab16ceea1d99de71e418bb51aab8161a37,Rahul,Verma,Computer Science and Engineering,Male,3.58,4.68,"Lower middle (15,000-30,000)",City,1,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.88,2.88
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rajesh,Yadav,Computer Science and Engineering,Male,4.67,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,2nd,2.88,2.88
rjain,F27!4f@1,3a90b862895b81262938392aaa14d39b5e0fe8fd662c0179b2ce44039b059d7c,Rajesh,Jain,Computer Science and Engineering,Male,4.57,4.95,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,2nd,2.88,2.88
ppatel,74e!20@1,cbe047ca8882bb4f9b8a333149185a25887f84ea9cf33e4148dd4c32694176f8,Pooja,Patel,Computer Science and Engineering,Female,4.17,5.0,"Lower middle (15,000-30,000)",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.88,2.88
mkumar,673!86@1,72b3ebdb5be768e84f8202e457dc0a58eb7f8086db3a373a034936c32eb57430,Meera,Kumar,Computer Science and Engineering,Female,3.75,4.69,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,10th,2.89,2.89
rsharma,83c!4b@1,a44d4d97528b1c54e10df0c2d6d516b4ab19a73922fd859924125f1756facfe2,Rohit,Sharma,Computer Science and Engineering,Male,4.25,5.0,"Upper middle (30,000-50,000)",Village,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,9th,2.91,2.89
djain,D99!4d@1,5ddea823c3cbb298ef2ed0d6c123b9fee4bd916f1685a52c797ad04a8dc3b715,Divya,Jain,Computer Science and Engineering,Female,4.17,4.61,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,8th,2.89,2.89
msharma,Cb6!61@1,a3f7a2afaa739eba28a4ad354c83636541ff2fc7b9ed226985d24bba866bbae4,Meera,Sharma,Computer Science and Engineering,Female,4.67,5.0,"Lower middle (15,000-30,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,8th,2.93,2.89
syadav,52a!6b@1,7cdbca5219132f640c53fa56ce686203fbce00745582f8e2b7be53210ba6aef3,Sneha,Yadav,Computer Science and Engineering,Female,3.83,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,3,No,8th,2.89,2.89
apatel,45a!6d@1,f59cec2e950eea894f5d55d649a56f7685a1504d63ea2843bb959c4258efe2f7,Ankit,Patel,Computer Science and Engineering,Male,4.08,4.78,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,7th,2.92,2.89
agupta,Efb!af@1,6ccd409166fd6d38660ca386877d7d64aabe1a2e93bbd7dd855b32717d8f0c23,Amit,Gupta,Computer Science and Engineering,Male,3.58,4.88,"High (Above 50,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,7th,2.92,2.89
dkumar,8b6!80@1,b756de28bf1eb8ddceaa4598864084239ffc5f9c6da9c24edcf9385c81299c83,Dinesh,Kumar,Computer Science and Engineering,Male,4.0,4.7,"Low (Below 15,000)",Village,1,0-1 Hour,2-3 Hours,60%-79%,No,3,Yes,11th,2.46,2.9
pverma,7d8!53@1,3f58c666b3669beea18005f8228155fe4cd0e8ebdb2289c977393dcf08061749,Prakash,Verma,Computer Science and Engineering,Male,4.58,4.0,"High (Above 50,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,10th,2.66,2.9
sgupta,5de!f7@1,71fbd47921c9db9d21417d2d410f8aa1b93810d0d42afbadee907f7e5c65a001,Suresh,Gupta,Computer Science and Engineering,Male,4.1,3.75,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.57,2.9
ayadav,3a4!dc@1,9c6c1ec57281f3fa0601414b868a46d661fda4f899a1953d46eddbc3c0dc04b0,Ankit,Yadav,Computer Science and Engineering,Male,3.33,4.61,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,9th,2.44,2.9
rjain,F27!4f@1,3a90b862895b81262938392aaa14d39b5e0fe8fd662c0179b2ce44039b059d7c,Rajesh,Jain,Computer Science and Engineering,Male,3.67,3.06,"High (Above 50,000)",Village,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,Yes,8th,2.55,2.9
dverma,D51!c7@1,e8418faca588d70afb9d19e2f2a4f9dcaeec64528b4fb5b7efb24e10ab29a7c7,Dinesh,Verma,Computer Science and Engineering,Male,4.17,4.61,"Upper middle (30,000-50,000)",City,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,8th,2.64,2.9
mchoudhary,4fd!af@1,772620c233185eb0bb1002b3e60c4bcc035e6040b6d00abe1fed20d010d25372,Meera,Choudhary,Computer Science and Engineering,Female,3.83,5.0,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,8th,2.6,2.9
pmishra,1a6!96@1,43a3e2e56f247b0f067f7a2bc53456917a624dae73137224392751999d87f604,Prakash,Mishra,Computer Science and Engineering,Male,4.67,4.75,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,7th,2.6,2.9
rverma,852!90@1,51aabc905c874fb2e5c693b4b7d04bab16ceea1d99de71e418bb51aab8161a37,Rohit,Verma,Computer Science and Engineering,Male,4.5,4.28,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,7th,2.6,2.9
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rahul,Yadav,Computer Science and Engineering,Male,4.33,5.0,"High (Above 50,000)",City,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.5,2.9
rsingh,C7d!6f@1,ee0fee2bda658eb09f021c5ec6fa4656fb2465b6091089d325415e4ca39692de,Rahul,Singh,Computer Science and Engineering,Male,3.17,4.67,"High (Above 50,000)  ",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.41,2.9
smishra,59d!5a@1,d8ddf7f950219c43edfa8e805b6f9f723eee0d740c7c6f46639c71238bad73ea,Sunita,Mishra,Computer Science and Engineering,Female,4.5,4.56,"Upper middle (30,000-50,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.5,2.9
ssharma,Aed!ae@1,c6842ebce1a5634ac10be81ba0127de49e0f85da0d5507bb4c4adabdfc7707ba,Sunita,Sharma,Computer Science and Engineering,Female,3.76,4.0,"High (Above 50,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.56,2.9
rkumar,243!27@1,348cdc129ca4dd7fa5dd20a6dc2f5ffcebf805d8237baec2bec16d56b43fbd48,Rajesh,Kumar,Computer Science and Engineering,Male,2.59,4.88,"High (Above 50,000) ",City,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.55,2.9
psharma,Fde!83@1,4c2c4fcaa4ad1b735bd1eba35413e6fb94ebb84d44550c5ebc49ce8b58d4aa7b,Prakash,Sharma,Computer Science and Engineering,Male,3.33,3.78,"Lower middle (15,000-30,000)",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,6th,2.69,2.9
sverma,A9d!12@1,095a351153c4e98385985886dc0f460288ac353919120cf1aaf2dbf6150058db,Sneha,Verma,Computer Science and Engineering,Female,4.5,5.0,"Lower middle (15,000-30,000)",Village,5,0-1 Hour,More than 3 Hours,40%-59%,No,4,Yes,5th,2.67,2.9
rsharma,83c!4b@1,a44d4d97528b1c54e10df0c2d6d516b4ab19a73922fd859924125f1756facfe2,Rohit,Sharma,Computer Science and Engineering,Male,4.17,4.61,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,5th,2.5,2.9
nyadav,24f!58@1,8546d6a9276e5c29057ae4696d4ce8a3693e0125470a5d59b9aa976f7d6938cd,Neha,Yadav,Computer Science and Engineering,Female,4.42,5.0,"Lower middle (15,000-30,000)",City,3,0-1 Hour,More than 3 Hours,40%-59%,No,3,No,3rd,2.67,2.9
vchoudhary,840!c2@1,3bf4c42bdf52f8a2a5f5ef84a525c5b5ca86427ab44fa77ad541560d42299fe5,Vivek,Choudhary,Computer Science and Engineering,Male,3.85,5.0,"Lower middle (15,000-30,000)",City,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,3rd,2.42,2.9
pjain,Aba!fe@1,49e65bfe327f6052b93e09edcd62008f6297dba69b53b06b053cd4c01d5a9472,Prakash,Jain,Computer Science and Engineering,Male,3.92,5.0,"High (Above 50,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.92,2.92
pkumar,6cd!a8@1,1728cea41d1b3b994fe760e9449f04f93440c2e851de1654e5d770a7a14b11fe,Pooja,Kumar,Computer Science and Engineering,Female,4.0,5.0,"High (Above 50,000) ",Village,4,0-1 Hour,More than 3 Hours,40%-59%,No,4,No,10th,2.42,2.94
rsharma,83c!4b@1,a44d4d97528b1c54e10df0c2d6d516b4ab19a73922fd859924125f1756facfe2,Rahul,Sharma,Computer Science and Engineering,Male,3.33,4.89,"Low (Below 15,000)",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.94,2.94
vsharma,221!cb@1,2dcf15f92f4b487d81c5bae7e61cac050467d0cd55e6512444798373f7d202b9,Vikram,Sharma,Computer Science and Engineering,Male,3.92,4.73,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.94,2.94
rverma,852!90@1,51aabc905c874fb2e5c693b4b7d04bab16ceea1d99de71e418bb51aab8161a37,Rekha,Verma,Computer Science and Engineering,Female,3.42,4.68,"High (Above 50,000)  ",Village,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,2.94,2.94
vjain,158!f2@1,6266042c2f6e4b6b9842754f133b66b4b9ef75caa59068acea6f5b37bc56714d,Vivek,Jain,Computer Science and Engineering,Male,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,2-3 Hours,More than 3 Hours,60%-79%,No,4,Yes,8th,2.48,2.98
ngupta,658!92@1,c3459922f62bc3c7cafbbc927c4f441d119be051e15efc6b100262910f73f3f2,Neha,Gupta,Computer Science and Engineering,Female,4.5,5.0,"High (Above 50,000)",City,3,2-3 Hours,More than 3 Hours,80%-100%,No,3,Yes,11th,3.45,3.0
vsharma,221!cb@1,2dcf15f92f4b487d81c5bae7e61cac050467d0cd55e6512444798373f7d202b9,Vivek,Sharma,Computer Science and Engineering,Male,5.0,5.0,"Lower middle (15,000-30,000)",Village,3,0-1 Hour,More than 3 Hours,80%-100%,No,4,No,2nd,3.0,3.0
pyadav,F0f!1b@1,092f22edb89300db312411d54e4d5e37d252d736e1b2a2c59c3a72d5af80179a,Prakash,Yadav,Computer Science and Engineering,Male,5.0,5.0,"Upper middle (30,000-50,000)",City,3,0-1 Hour,0-1 Hour,60%-79%,No,4,Yes,4th,2.45,3.0
dsingh,2bd!78@1,2e7bb4dd923f13e29473ec579ab875b5c7da9bcce1837ee5b72f2344274003e5,Divya,Singh,Computer Science and Engineering,Female,5.0,5.0,"Upper middle (30,000-50,000)",City,3,0-1 Hour,2-3 Hours,80%-100%,No,3,No,4th,3.22,3.0
pkumar,6cd!a8@1,1728cea41d1b3b994fe760e9449f04f93440c2e851de1654e5d770a7a14b11fe,Priya,Kumar,Computer Science and Engineering,Female,4.5,4.75,"Lower middle (15,000-30,000)",Village,1,More than 3 Hours,More than 3 Hours,80%-100%,No,4,No,10th,3.17,3.0
rsharma,83c!4b@1,a44d4d97528b1c54e10df0c2d6d516b4ab19a73922fd859924125f1756facfe2,Rahul,Sharma,Computer Science and Engineering,Male,3.08,4.68,"High (Above 50,000) ",Village,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,3.0,3.0
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rekha,Yadav,Computer Science and Engineering,Female,3.92,5.0,"High (Above 50,000) ",City,5,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,3.0,3.0
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rajesh,Yadav,Computer Science and Engineering,Male,3.67,4.68,"High (Above 50,000) ",City,3,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,3.0,3.0
mkumar,673!86@1,72b3ebdb5be768e84f8202e457dc0a58eb7f8086db3a373a034936c32eb57430,Meera,Kumar,Computer Science and Engineering,Female,3.92,5.0,"Upper middle (30,000-50,000)",City,4,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,3.0,3.0
agupta,Efb!af@1,6ccd409166fd6d38660ca386877d7d64aabe1a2e93bbd7dd855b32717d8f0c23,Anjali,Gupta,Computer Science and Engineering,Female,3.53,5.0,"Lower middle (15,000-30,000) ",City,2,0-1 Hour,More than 3 Hours,60%-79%,No,4,No,2nd,3.0,3.0
vyadav,842!f4@1,6dfa09fd777695793c6a10b5536543780147de85cb6d02d026f5e6b2aa24350e,Vikram,Yadav,Computer Science and Engineering,Male,3.83,4.73,"High (Above 50,000) ",Village,3,2-3 Hours,More than 3 Hours,40%-59%,No,5,Yes,2nd,3.06,3.06
psingh,5c7!2e@1,a52a786dd2e512f93ad7742ce7a4fe8cb7b6575b9e416b46d0bc72456b920e86,Priya,Singh,Computer Science and Engineering,Female,2.93,4.71,"Upper middle (30,000-50,000)",Village,4,2-3 Hours,More than 3 Hours,40%-59%,No,3,Yes,2nd,3.06,3.06
syadav,52a!6b@1,7cdbca5219132f640c53fa56ce686203fbce00745582f8e2b7be53210ba6aef3,Suresh,Yadav,Computer Science and Engineering,Male,3.5,5.0,"High (Above 50,000)",City,5,2-3 Hours,More than 3 Hours,40%-59%,No,3,Yes,2nd,3.06,3.06
ryadav,541!79@1,f540ef018134e6ecbc95fb6b8fce74f87af1040360a6e89aaea3a2eed8149c97,Rahul,Yadav,Computer Science and Engineering,Male,5.0,5.0,"Lower middle (15,000-30,000)",Village,4,2-3 Hours,More than 3 Hours,80%-100%,No,3,Yes,4th,2.94,3.07
vyadav,842!f4@1,6dfa09fd777695793c6a10b5536543780147de85cb6d02d026f5e6b2aa24350e,Vivek,Yadav,Computer Science and Engineering,Male,4.0,4.92,"Lower middle (15,000-30,000)",Village,3,2-3 Hours,2-3 Hours,80%-100%,No,3,Yes,11th,3.0,3.08
rchoudhary,81a!d4@1,50b6f63f64070012aff2b9c1d53dba48a6cf466b99c9ce6a3a969b0f33557862,Rahul,Choudhary,Computer Science and Engineering,Male,3.92,5.0,"Lower middle (15,000-30,000)",Village,4,2-3 Hours,2-3 Hours,60%-79%,No,4,No,10th,3.29,3.08
rchoudhary,81a!d4@1,50b6f63f64070012aff2b9c1d53dba48a6cf466b99c9ce6a3a969b0f33557862,Rahul,Choudhary,Computer Science and Engineering,Male,3.6,4.94,"Upper middle (30,000-50,000)",Village,4,2-3 Hours,2-3 Hours,60%-79%,No,4,No,10th,3.25,3.08
agupta,Efb!af@1,6ccd409166fd6d38660ca386877d7d64aabe1a2e93bbd7dd855b32717d8f0c23,Amit,Gupta,Computer Science and Engineering,Male,3.83,4.75,"Upper middle (30,000-50,000)",Village,3,2-3 Hours,2-3 Hours,60%-79%,No,4,No,9th,3.25,3.08
asharma,C5e!2e@1,a0c81e812c7fa6bf141b1c8441ae4d3f4508d3180827e0da425002a1c51651bb,Anjali,Sharma,Computer Science and Engineering,Female,3.51,3.19,"Low (Below 15,000)",Village,3,2-3 Hours,2-3 Hours,60%-79%,No,3,No,9th,3.25,3.08
ayadav,3a4!dc@1,9c6c1ec57281f3fa0601414b868a46d661fda4f899a1953d46eddbc3c0dc04b0,Ankit,Yadav,Computer Science and Engineering,Male,4.44,5.0,"Upper middle (30,000-50,000)",City,5,2-3 Hours,2-3 Hours,60%-79%,Yes,2,No,8th,3.25,3.08
mjain,4ad!33@1,d526779c59017a5322f11661b80f41914340981ce21dda288d9d4c0748c2760e,Meera,Jain,Computer Science and Engineering,Female,3.92,5.0,"Upper middle (30,000-50,000)",Village,3,2-3 Hours,2-3 Hours,60%-79%,No,3,No,8th,3.28,3.08
ssharma,Aed!ae@1,c6842ebce1a5634ac10be81ba0127de49e0f85da0d5507bb4c4adabdfc7707ba,Suresh,Sharma,Computer Science and Engineering,Male,4.5,5.0,"Lower middle (15,000-30,000)",City,3,2-3 Hours,2-3 Hours,60%-79%,No,4,No,8th,3.3,3.08
rgupta,E08!18@1,03632429eee720389e149cd862773349f27ef308483a6105591d69a3f38f4b02,Rahul,Gupta,Computer Science and Engineering,Male,4.5,5.0,"High (Above 50,000)",City,1,2-3 Hours,2-3 Hours,60%-79%,Yes,2,No,8th,3.26,3.08
rpatel,Dd4!55@1,3af4b1633edfe7769a0fbc18d5be25da40aaa0f52a7259cfcd7179d05606f026,Rahul,Patel,Computer Science and Engineering,Male,3.42,4.0,"Low (Below 15,000) ",Village,4,2-3 Hours,2-3 Hours,60%-79%,Yes,2,No,6th,3.3,3.08
ssharma,Aed!ae@1,c6842ebce1a5634ac10be81ba0127de49e0f85da0d5507bb4c4adabdfc7707ba,Sneha,Sharma,Computer Science and Engineering,Female,3.86,5.0,"High (Above 50,000)",Village,5,2-3 Hours,2-3 Hours,60%-79%,No,3,No,6th,3.25,3.08
asharma,C5e!2e@1,a0c81e812c7fa6bf141b1c8441ae4d3f4508d3180827e0da425002a1c51651bb,Amit,Sharma,Computer Science and Engineering,Male,5.0,5.0,"Low (Below 15,000)",Village,4,2-3 Hours,2-3 Hours,60%-79%,No,3,No,3rd,3.25,3.08
smishra,59d!5a@1,d8ddf7f950219c43edfa8e805b6f9f723eee0d740c7c6f46639c71238bad73ea,Suresh,Mishra,Computer Science and Engineering,Male,4.08,5.0,"Low (Below 15,000)",Village,1,2-3 Hours,2-3 Hours,80%-100%,No,3,Yes,10th,2.73,3.09
